案名,坪數,種類,位置,開價,網頁
中西區青年路黃金店面,21.69 坪,建地,台南中西區青年路,售1398萬,https://www.house-info.com.tw/台南土地農地工業地建地廠房農舍道路用地-HL570800.htm
民權路商業建地送店面,66.09 坪,商業地,台南中西區中西區民權,售4200萬,https://www.house-info.com.tw/台南市大樓套房透天別墅店面店住投資廠房廠辦套房電梯車墅-HL547468.htm
湖美社區優質建地,29.93 坪,建地,台南中西區成光段,售1078萬,https://www.house-info.com.tw/台南市土地農地建地休閒地買賣實價登錄行情價阿善幸福家-HL578377.htm
成功路大地坪送金店面,82.945 坪,建地,台南中西區成功路,售5650萬,https://www.house-info.com.tw/台南幸福房地一點通0930278328好房Kai模-HL470701.htm
海安路生活圈95建地,95.28 坪,建地,台南中西區忠孝街,售2100萬,https://www.house-info.com.tw/好房kai模0930278328凱凱的家-HL320257.htm
中西區正興街154商,154.789 坪,建地_商業地,台南中西區星鑽段,售1億1586萬,https://www.house-info.com.tw/台南買屋賣屋建地透天591幸福家中信台灣太平洋永慶信義林惠美-HL576020.htm
專-台南市心211坪,211.14 坪,建地,台南中西區鑫左岸大樓,售1億2246萬,https://www.house-info.com.tw/專台南市心211坪美建地-HL584333.htm
中西區停車場用地,36.28 坪,停c4停車場用,台南中西區西賢六街,售658萬,https://www.house-info.com.tw/中西區停車場用地-HL584705.htm
西門圓環近新天地超派,27.65 坪,建地_道路地,台南中西區西門路一段,售1106萬,https://www.house-info.com.tw/西門圓環近新天地超派建地A-HL585183.htm
西門圓環近新天地超派,27.65 坪,建地,台南中西區西門路一段,售1106萬,https://www.house-info.com.tw/西門圓環近新天地超派建地B-HL585184.htm
永華運動公園芳鄰建地,45.37 坪,建地_住宅地,台南中西區永華運動中,售2632萬,https://www.house-info.com.tw/永華運動公園芳鄰建地-HL585185.htm
湖美稀有超值建地YC,29.93 坪,建地,台南中西區成光段,售1078萬,https://www.house-info.com.tw/台南市中西區土地農地建地BC11007-HL529574.htm
永福國小金店面建地,69.88 坪,建地,台南中西區保西段,售7338萬,https://www.house-info.com.tw/永福國小金店面建地-HL576897.htm
中西區蝸牛巷商圈31,31 坪,商業地,台南中西區保西段,售800萬,https://www.house-info.com.tw/中西區蝸牛巷商圈31商業用地-HL573393.htm
G415中西區精華商,55 坪,建地,台南中西區西門路一段,售2212萬,https://www.house-info.com.tw/中西區建地-HL571584.htm
