建案名稱,總價,格局/地坪,建坪,位置,網站
建中名邸,"1,788萬起",32~43,位址:,台南市佳里區建中街,https://tainan.housetube.tw/46722
臺邦 La Vie,"2,245~3,080萬",70~91,佳里區貴族世家往前200公尺（進學路）,佳里區貴族世家往前200公尺（進學路）,https://tainan.housetube.tw/47359
萊茵河3,"1,480~1,680萬",67~70,台南市安定區管寮,台南市安定區管寮,https://tainan.housetube.tw/46920
萊茵河2,"1,280萬起",56~62,大內區熊貓車站旁,大內區熊貓車站旁,https://tainan.housetube.tw/46859
佳佳園2,37~40萬/坪,位址:,推薦,南勢街上,https://tainan.housetube.tw/42609
華屋有樂事8,37~40萬/坪,位址:,明星學區,未提供,https://tainan.housetube.tw/45728
佳晟家和,37~40萬/坪,26~40,台南市永康區永和段17地號,台南市永康區永和段17地號,https://tainan.housetube.tw/47644
臺邦秘境,"1,595~1,900萬",62~73,將軍區漚汪台電附近,將軍區漚汪台電附近,https://tainan.housetube.tw/46818
上澄硯,"2,888~4,328萬",89~96,永康區公園路151巷,永康區公園路151巷,https://tainan.housetube.tw/46727
楓華13期,"2,888~4,328萬",76,未提供,未提供,https://tainan.housetube.tw/45762
鎮-金店,"2,888~4,328萬",21.78~32.67,位址:,未提供,https://tainan.housetube.tw/45760
UNi希建築11白派光,"2,888~4,328萬",位址:,明星學區,台南市東區東門路二段,https://tainan.housetube.tw/45655
巴黎上品6,"2,888~4,328萬",53~56,安佃八街,安佃八街,https://tainan.housetube.tw/45565
誠銳大謙,"2,888~4,328萬",24~33.5,台南市麻豆區新生南路,台南市麻豆區新生南路,https://tainan.housetube.tw/45365
日東昇豐禾,"2,888~4,328萬",23~36,位址:,台南市北區文賢路313巷65-1號,https://tainan.housetube.tw/44815
貝森朵夫10,688萬起,位址:,首購,東區德祥街、城東街,https://tainan.housetube.tw/44155
臺邦諧作悅2,"1,708~1,798萬",位址:,近公園,麻豆區新生南路和成功街口,https://tainan.housetube.tw/41431
堡湖天下七期,"1,708~1,798萬",24.91~27.98,位址:,西港菜市場對面,https://tainan.housetube.tw/45509
誠銳幸福配方,"1,688~2,100萬",46.8~56.21,台南市善化區溪美里溪尾72號(隆安宮)旁,台南市善化區溪美里溪尾72號(隆安宮)旁,https://tainan.housetube.tw/47496
東祥觀品-佳里興,29.6~33萬/坪,未提供,佳里區佳里興龍興路601號,佳里區佳里興龍興路601號,https://tainan.housetube.tw/47196
靜岡17,29.6~33萬/坪,位址:,近重劃區,正新路389號,https://tainan.housetube.tw/47110
大鑫鑽,"4,388萬",101.35,台南市佳里區新生路46號,台南市佳里區新生路46號,https://tainan.housetube.tw/46066
天生贏家8,"1,506~1,728萬",46~50,台南市安南區公學路二段275巷,台南市安南區公學路二段275巷,https://tainan.housetube.tw/46025
綠格永心,33~38萬/坪,位址:,推薦,台南市永康區永埔街33巷5號旁,https://tainan.housetube.tw/44980
日東昇成美,"955~1,275萬",23.14~29.02,台南市北區大武街239號,台南市北區大武街239號,https://tainan.housetube.tw/42070
豪享家,"1,388萬起",54.4~61.17,西港區双張廍5之10號,西港區双張廍5之10號,https://tainan.housetube.tw/45389
双贏,690萬起,位址:,預售,台南西港區双營28地號,https://tainan.housetube.tw/44724
天下歸仁2-華屋有樂事7,690萬起,未提供,未提供,未提供,https://tainan.housetube.tw/43739
隱大灣,690萬起,99,永康區立興街162號-1,永康區立興街162號-1,https://tainan.housetube.tw/40714
拾得3,690萬起,位址:,近公園,安定港口,https://tainan.housetube.tw/38025
東宸泰吉11,888萬,位址:,預售,台南市南區金華路一段336巷111號,https://tainan.housetube.tw/47740
聯太WHITE HAUS,888萬,位址:,重劃區,安南區安中路四段、淵西一街,https://tainan.housetube.tw/47617
和平大撰,888萬,未提供,位址:,台南市關廟區和平路28號,https://tainan.housetube.tw/47574
為有巢-西埔段(透天),888萬,38.5~74.3,西港西埔寮,西港西埔寮,https://tainan.housetube.tw/47546
為有巢-西埔段,888萬,位址:,預售,西港區西埔寮,https://tainan.housetube.tw/47545
為有巢-玉成段,888萬,33.4~34.2,七股區龍山社區,七股區龍山社區,https://tainan.housetube.tw/47544
為有巢-佳化段,"1,068~1,645萬",39.7~40.7,佳里區佳化一街,佳里區佳化一街,https://tainan.housetube.tw/47543
為有巢-外塭段,"1,068~1,645萬",40,安南區安昌街284巷,安南區安昌街284巷,https://tainan.housetube.tw/47542
樂活小鎮,"1,068~1,645萬",33.7~55.2,官田區神農段187地號（官田59號之1旁）,官田區神農段187地號（官田59號之1旁）,https://tainan.housetube.tw/47519
大興靜隱,"1,866~1,998萬",位址:,近公園,大興街479號,https://tainan.housetube.tw/47409
快捷市,"1,018~1,488萬",位址:,明星學區,佳里區中興街310巷,https://tainan.housetube.tw/47318
